#Mapping quality	mapping quality
1.0	29.0
2.0	25.0
3.0	21.0
4.0	67.0
5.0	127.0
6.0	218.0
7.0	211.0
8.0	153.0
9.0	164.0
10.0	117.0
11.0	131.0
12.0	160.0
13.0	232.0
14.0	173.0
15.0	149.0
16.0	194.0
17.0	242.0
18.0	153.0
19.0	253.0
20.0	182.0
21.0	192.0
22.0	109.0
23.0	135.0
24.0	143.0
25.0	180.0
26.0	128.0
27.0	117.0
28.0	182.0
29.0	102.0
30.0	110.0
31.0	103.0
32.0	162.0
33.0	118.0
34.0	131.0
35.0	99.0
36.0	171.0
37.0	201.0
38.0	111.0
39.0	82.0
40.0	84.0
41.0	114.0
42.0	115.0
43.0	171.0
44.0	164.0
45.0	137.0
46.0	183.0
47.0	183.0
48.0	160.0
49.0	205.0
50.0	225.0
51.0	250.0
52.0	283.0
53.0	207.0
54.0	369.0
55.0	413.0
56.0	235.0
57.0	239.0
58.0	596.0
59.0	778.0
60.0	5880.0
