#Coverage (X)	Coverage
1.0	99.98792926549581
2.0	99.97585853099162
3.0	99.96378779648741
4.0	99.95171706198322
5.0	99.93964632747902
6.0	99.92757559297483
7.0	99.91550485847064
8.0	99.90343412396645
9.0	99.89136338946224
10.0	99.87929265495805
11.0	99.86722192045386
12.0	99.85515118594967
13.0	99.84308045144547
14.0	99.83100971694128
15.0	99.81893898243707
16.0	99.80686824793288
17.0	99.79479751342869
18.0	99.7827267789245
19.0	99.7706560444203
20.0	99.75858530991611
21.0	99.74651457541191
22.0	99.73444384090772
23.0	99.72237310640352
24.0	99.71030237189933
25.0	99.69219627014304
26.0	99.66201943388255
27.0	99.63184259762207
28.0	99.60166576136157
29.0	99.5714889251011
30.0	99.54131208884061
31.0	99.51717061983221
32.0	99.48095841631964
33.0	99.45078158005914
34.0	99.42664011105076
35.0	99.39646327479026
36.0	99.37232180578188
37.0	99.29989739875671
38.0	99.17919005371476
39.0	99.1188363811938
40.0	99.03434123966443
41.0	98.96191683263926
42.0	98.89552779286619
43.0	98.82913875309312
44.0	98.75067897881586
45.0	98.70843140805118
46.0	98.61186553201762
47.0	98.46701671796728
48.0	98.37045084193373
49.0	98.28595570040437
50.0	97.89365682901804
51.0	97.24183716579154
