#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	23.0
7.0	22.0
8.0	22.0
9.0	31.0
10.0	24.0
11.0	32.0
12.0	24.0
13.0	44.0
14.0	31.0
15.0	34.0
16.0	33.0
17.0	31.0
18.0	58.0
19.0	39.0
20.0	37.0
21.0	38.0
22.0	38.0
23.0	40.0
24.0	40.0
25.0	45.0
26.0	44.0
27.0	52.0
28.0	43.0
29.0	54.0
30.0	47.0
31.0	50.0
32.0	64.0
33.0	65.0
34.0	104.0
35.0	81.0
36.0	81.0
37.0	150.0
38.0	99.0
39.0	122.0
40.0	104.0
41.0	103.0
42.0	191.0
43.0	128.0
44.0	114.0
45.0	187.0
46.0	340.0
47.0	154.0
48.0	186.0
49.0	165.0
50.0	267.0
51.0	268.0
52.0	190.0
53.0	202.0
54.0	237.0
55.0	315.0
56.0	295.0
57.0	473.0
58.0	349.0
59.0	703.0
60.0	9527.0
