#Mapping quality	mapping quality
2.0	65.0
3.0	257.0
4.0	18.0
5.0	21.0
6.0	24.0
7.0	22.0
8.0	24.0
9.0	31.0
10.0	25.0
11.0	30.0
12.0	25.0
13.0	46.0
14.0	30.0
15.0	36.0
16.0	32.0
17.0	31.0
18.0	59.0
19.0	40.0
20.0	38.0
21.0	38.0
22.0	40.0
23.0	40.0
24.0	40.0
25.0	45.0
26.0	46.0
27.0	55.0
28.0	44.0
29.0	55.0
30.0	47.0
31.0	49.0
32.0	59.0
33.0	59.0
34.0	63.0
35.0	68.0
36.0	72.0
37.0	141.0
38.0	95.0
39.0	117.0
40.0	104.0
41.0	105.0
42.0	192.0
43.0	131.0
44.0	108.0
45.0	178.0
46.0	250.0
47.0	149.0
48.0	182.0
49.0	166.0
50.0	269.0
51.0	267.0
52.0	193.0
53.0	199.0
54.0	236.0
55.0	314.0
56.0	382.0
57.0	484.0
58.0	364.0
59.0	713.0
60.0	9554.0
