#Position (bp)	mapping quality
21.5	60.0
63.5	60.0
105.5	60.0
147.5	60.0
189.5	60.0
231.5	60.0
273.5	60.0
315.5	60.0
357.5	60.0
399.5	60.0
441.5	60.0
483.5	60.0
525.5	60.0
567.5	60.0
609.5	59.53823953823954
651.5	55.66329966329966
693.5	55.313131313131315
735.5	58.437710437710436
777.5	60.0
819.5	59.711399711399714
861.5	59.03030303030303
903.5	59.03030303030303
945.5	59.942279942279946
987.5	60.0
1029.5	55.35896103896104
1071.5	37.75641891891892
1113.5	9.658513640639699
1155.5	2.5336481700118063
1197.5	17.854246575342465
1239.5	45.44152744630072
1281.5	57.21862549800797
1323.5	60.0
1365.5	60.0
1407.5	56.7666094631037
1449.5	47.57168458781362
1491.5	46.5659509202454
1533.5	53.65153344602753
1575.5	52.157046657046656
1617.5	52.165464165464165
1659.5	57.77200577200577
1701.5	60.0
1743.5	60.0
1785.5	57.81818181818182
1827.5	57.09090909090909
1869.5	58.22222222222222
1911.5	56.29665535627726
1953.5	50.06413994169096
1995.5	50.56181950157271
2037.5	56.998556998557
2079.5	60.0
2121.5	60.0
2163.5	60.0
2205.5	60.0
2247.5	60.0
2289.5	60.0
2331.5	60.0
2373.5	60.0
2415.5	59.94997594997595
2457.5	57.96897546897547
2499.5	57.02020202020202
2541.5	57.96849446849447
2583.5	57.957431457431454
2625.5	57.888888888888886
2667.5	59.24603174603175
2709.5	60.0
2751.5	60.0
2793.5	60.0
2835.5	60.0
2877.5	60.0
2919.5	60.0
2961.5	60.0
3003.5	60.0
3045.5	60.0
3087.5	58.58551840269425
3129.5	60.0
3171.5	60.0
3213.5	60.0
3255.5	60.0
3297.5	60.0
3339.5	60.0
3381.5	60.0
3423.5	60.0
3465.5	60.0
3507.5	60.0
3549.5	60.0
3591.5	60.0
3633.5	60.0
3675.5	60.0
3717.5	60.0
3759.5	60.0
3801.5	60.0
3843.5	60.0
3885.5	60.0
3927.5	54.74454828660436
3969.5	42.69135802469136
4011.5	38.94517418617933
4053.5	50.02833414753297
4095.5	50.35860058309038
4137.5	37.9102787456446
4179.5	18.795081967213115
4221.5	12.766041030117853
4263.5	40.348993288590606
4305.5	56.12763258056331
4347.5	49.83796821793417
4389.5	38.94871794871795
4431.5	38.686653771760156
4473.5	40.05643879173291
4515.5	26.471014492753625
4557.5	6.245833333333334
4599.5	3.0
4641.5	8.961968680089486
4683.5	32.42298850574713
4725.5	50.810866222450024
4767.5	55.11303511303511
4809.5	51.31120731120731
4851.5	53.00817700817701
4893.5	58.09139009139009
4935.5	60.0
4977.5	59.89225589225589
5019.5	55.39393939393939
5061.5	47.19485657764589
5103.5	42.40277777777778
5145.5	42.00645001240387
5187.5	32.1653155761436
5229.5	19.574777975133216
5271.5	34.28508909034073
5313.5	52.48525334005546
5355.5	59.47667147667148
5397.5	60.0
5439.5	60.0
5481.5	59.28811928811929
5523.5	54.74747474747475
5565.5	48.108674698795184
5607.5	36.605149051490514
5649.5	21.09725685785536
5691.5	3.677685950413223
5733.5	12.534612176814012
5775.5	38.43912237330037
5817.5	54.45142002989537
5859.5	50.31938149826713
5901.5	29.415838189921153
5943.5	17.80211480362538
5985.5	33.97484644632934
6027.5	41.53979150775489
6069.5	30.613011606597436
6111.5	11.702234206471495
6153.5	24.228747012632297
6195.5	47.37811900191939
6237.5	58.75807228915663
6279.5	59.86916786916787
6321.5	59.83838383838384
6363.5	59.91149591149591
6405.5	60.0
6447.5	60.0
6489.5	60.0
6531.5	60.0
6573.5	58.753246753246756
6615.5	56.121212121212125
6657.5	56.33285233285233
6699.5	55.29158215010142
6741.5	37.704007573366994
6783.5	10.68008658008658
6825.5	4.265449438202247
6867.5	28.734572230014024
6909.5	49.884905660377356
6951.5	54.636621169199074
6993.5	37.07507507507508
7035.5	9.793410507569012
7077.5	21.85175879396985
7119.5	36.58161350844278
7161.5	47.19913315675415
7203.5	53.61616161616162
7245.5	58.58008658008658
7287.5	54.90909090909091
7329.5	45.73867504582351
7371.5	29.413441238564392
7413.5	9.483994266602963
7455.5	24.20845588235294
7497.5	38.37714285714286
7539.5	40.18377088305489
7581.5	37.08433734939759
7623.5	42.27857142857143
7665.5	51.00939985538684
7707.5	49.50732064421669
7749.5	43.55605158730159
7791.5	46.64195700518903
7833.5	54.42424242424242
7875.5	59.59211159211159
7917.5	54.972084980237156
7959.5	47.43617021276596
8001.5	48.31257845844841
8043.5	53.46825396825397
8085.5	56.16161616161616
8127.5	57.85233285233285
8169.5	60.0
8211.5	55.49622356495468
8253.5	38.42289348171701
8295.5	15.414985590778098
8337.5	28.365634365634367
8379.5	44.8957528957529
8421.5	54.54689754689755
8463.5	59.699855699855696
8505.5	58.93795093795094
8547.5	52.302279484638255
8589.5	46.72670807453416
8631.5	51.6519052523172
8673.5	58.856317689530684
8715.5	57.25980754996299
8757.5	44.49048050770626
8799.5	35.25385604113111
8841.5	41.334509910399134
8883.5	46.58585858585859
8925.5	46.52454282964389
8967.5	41.13425443169969
9009.5	45.855555555555554
9051.5	54.633408919123205
9093.5	55.532467532467535
9135.5	48.771524771524774
9177.5	46.19336219336219
9219.5	46.505050505050505
9261.5	50.73785473785474
9303.5	56.525252525252526
9345.5	55.53008806262231
9387.5	48.329896907216494
9429.5	44.54375303840545
9471.5	51.03030303030303
9513.5	57.71043771043771
9555.5	58.437710437710436
9597.5	52.0
9639.5	43.16687995904786
9681.5	42.13095238095238
9723.5	50.843541202672604
9765.5	59.56601941747573
9807.5	60.0
9849.5	60.0
9891.5	60.0
9933.5	60.0
9975.5	60.0
10017.5	60.0
10059.5	60.0
10101.5	60.0
10143.5	60.0
10185.5	60.0
10227.5	60.0
10269.5	60.0
10311.5	60.0
10353.5	60.0
10395.5	60.0
10437.5	60.0
10479.5	60.0
10521.5	60.0
10563.5	60.0
10605.5	60.0
10647.5	60.0
10689.5	60.0
10731.5	60.0
10773.5	60.0
10815.5	60.0
10857.5	60.0
10899.5	60.0
10941.5	60.0
10983.5	59.457431457431454
11025.5	59.03030303030303
11067.5	59.22655122655123
11109.5	60.0
11151.5	60.0
11193.5	60.0
11235.5	60.0
11277.5	60.0
11319.5	60.0
11361.5	60.0
11403.5	57.96084708199951
11445.5	48.306724986331325
11487.5	46.542849344978166
11529.5	55.580891406057624
11571.5	59.21500721500721
11613.5	56.48292448292448
11655.5	56.36363636363637
11697.5	58.39153439153439
11739.5	60.0
11781.5	60.0
11823.5	60.0
11865.5	60.0
11907.5	60.0
11949.5	60.0
11991.5	60.0
12033.5	60.0
12075.5	60.0
12117.5	60.0
12159.5	60.0
12201.5	60.0
12243.5	60.0
12285.5	60.0
12327.5	60.0
12369.5	60.0
12411.5	60.0
12453.5	60.0
12495.5	60.0
12537.5	60.0
12579.5	60.0
12621.5	60.0
12663.5	60.0
12705.5	60.0
12747.5	60.0
12789.5	60.0
12831.5	60.0
12873.5	60.0
