#Mapping quality	mapping quality
2.0	65.0
3.0	289.0
4.0	17.0
5.0	21.0
6.0	23.0
7.0	23.0
8.0	21.0
9.0	23.0
10.0	19.0
11.0	27.0
12.0	21.0
13.0	41.0
14.0	28.0
15.0	30.0
16.0	29.0
17.0	28.0
18.0	53.0
19.0	37.0
20.0	33.0
21.0	35.0
22.0	35.0
23.0	34.0
24.0	37.0
25.0	41.0
26.0	39.0
27.0	47.0
28.0	40.0
29.0	46.0
30.0	44.0
31.0	43.0
32.0	53.0
33.0	52.0
34.0	84.0
35.0	71.0
36.0	74.0
37.0	140.0
38.0	95.0
39.0	120.0
40.0	102.0
41.0	104.0
42.0	190.0
43.0	127.0
44.0	114.0
45.0	186.0
46.0	339.0
47.0	150.0
48.0	185.0
49.0	168.0
50.0	269.0
51.0	270.0
52.0	198.0
53.0	201.0
54.0	231.0
55.0	314.0
56.0	382.0
57.0	484.0
58.0	364.0
59.0	713.0
60.0	9518.0
