#Mapping quality	mapping quality
1.0	29.0
2.0	25.0
3.0	21.0
4.0	67.0
5.0	127.0
6.0	218.0
7.0	211.0
8.0	153.0
9.0	164.0
10.0	117.0
11.0	131.0
12.0	160.0
13.0	232.0
14.0	173.0
15.0	149.0
16.0	194.0
17.0	242.0
18.0	153.0
19.0	253.0
20.0	182.0
21.0	192.0
22.0	109.0
23.0	133.0
24.0	147.0
25.0	184.0
26.0	129.0
27.0	114.0
28.0	181.0
29.0	102.0
30.0	110.0
31.0	104.0
32.0	161.0
33.0	120.0
34.0	131.0
35.0	99.0
36.0	195.0
37.0	216.0
38.0	124.0
39.0	94.0
40.0	97.0
41.0	127.0
42.0	126.0
43.0	187.0
44.0	174.0
45.0	146.0
46.0	193.0
47.0	190.0
48.0	166.0
49.0	214.0
50.0	236.0
51.0	264.0
52.0	298.0
53.0	220.0
54.0	316.0
55.0	390.0
56.0	188.0
57.0	209.0
58.0	582.0
59.0	737.0
60.0	5862.0
