#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	28.0
12.0	22.0
13.0	42.0
14.0	28.0
15.0	32.0
16.0	30.0
17.0	29.0
18.0	55.0
19.0	37.0
20.0	34.0
21.0	36.0
22.0	36.0
23.0	37.0
24.0	38.0
25.0	42.0
26.0	41.0
27.0	49.0
28.0	40.0
29.0	50.0
30.0	44.0
31.0	46.0
32.0	54.0
33.0	55.0
34.0	103.0
35.0	76.0
36.0	80.0
37.0	145.0
38.0	100.0
39.0	128.0
40.0	108.0
41.0	110.0
42.0	194.0
43.0	134.0
44.0	115.0
45.0	188.0
46.0	312.0
47.0	145.0
48.0	185.0
49.0	168.0
50.0	272.0
51.0	267.0
52.0	191.0
53.0	197.0
54.0	239.0
55.0	314.0
56.0	378.0
57.0	492.0
58.0	352.0
59.0	701.0
60.0	9529.0
