#Mapping quality	mapping quality
1.0	29.0
2.0	25.0
3.0	21.0
4.0	67.0
5.0	127.0
6.0	218.0
7.0	211.0
8.0	153.0
9.0	164.0
10.0	117.0
11.0	188.0
12.0	161.0
13.0	229.0
14.0	169.0
15.0	147.0
16.0	192.0
17.0	241.0
18.0	159.0
19.0	263.0
20.0	189.0
21.0	195.0
22.0	108.0
23.0	133.0
24.0	145.0
25.0	184.0
26.0	129.0
27.0	114.0
28.0	182.0
29.0	103.0
30.0	110.0
31.0	105.0
32.0	161.0
33.0	120.0
34.0	130.0
35.0	99.0
36.0	175.0
37.0	241.0
38.0	124.0
39.0	92.0
40.0	75.0
41.0	105.0
42.0	104.0
43.0	162.0
44.0	155.0
45.0	128.0
46.0	176.0
47.0	174.0
48.0	149.0
49.0	187.0
50.0	201.0
51.0	241.0
52.0	282.0
53.0	207.0
54.0	371.0
55.0	413.0
56.0	235.0
57.0	241.0
58.0	583.0
59.0	779.0
60.0	5880.0
