#Mapping quality	mapping quality
2.0	107.0
3.0	185.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	27.0
12.0	22.0
13.0	42.0
14.0	27.0
15.0	32.0
16.0	30.0
17.0	29.0
18.0	55.0
19.0	36.0
20.0	35.0
21.0	35.0
22.0	36.0
23.0	37.0
24.0	38.0
25.0	43.0
26.0	40.0
27.0	48.0
28.0	41.0
29.0	50.0
30.0	43.0
31.0	46.0
32.0	53.0
33.0	56.0
34.0	85.0
35.0	71.0
36.0	75.0
37.0	139.0
38.0	97.0
39.0	122.0
40.0	102.0
41.0	103.0
42.0	191.0
43.0	128.0
44.0	113.0
45.0	184.0
46.0	339.0
47.0	150.0
48.0	184.0
49.0	164.0
50.0	270.0
51.0	267.0
52.0	194.0
53.0	198.0
54.0	237.0
55.0	311.0
56.0	386.0
57.0	485.0
58.0	366.0
59.0	712.0
60.0	9554.0
