#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	28.0
12.0	22.0
13.0	42.0
14.0	28.0
15.0	32.0
16.0	49.0
17.0	32.0
18.0	59.0
19.0	40.0
20.0	37.0
21.0	40.0
22.0	39.0
23.0	40.0
24.0	41.0
25.0	47.0
26.0	44.0
27.0	54.0
28.0	43.0
29.0	55.0
30.0	49.0
31.0	49.0
32.0	60.0
33.0	58.0
34.0	91.0
35.0	76.0
36.0	81.0
37.0	145.0
38.0	100.0
39.0	125.0
40.0	109.0
41.0	108.0
42.0	194.0
43.0	133.0
44.0	118.0
45.0	180.0
46.0	269.0
47.0	142.0
48.0	176.0
49.0	161.0
50.0	253.0
51.0	264.0
52.0	189.0
53.0	197.0
54.0	231.0
55.0	312.0
56.0	379.0
57.0	483.0
58.0	357.0
59.0	713.0
60.0	9554.0
