#Mapping quality	mapping quality
2.0	114.0
3.0	178.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	22.0
11.0	28.0
12.0	22.0
13.0	43.0
14.0	27.0
15.0	33.0
16.0	29.0
17.0	29.0
18.0	56.0
19.0	36.0
20.0	35.0
21.0	36.0
22.0	36.0
23.0	36.0
24.0	38.0
25.0	44.0
26.0	39.0
27.0	48.0
28.0	40.0
29.0	49.0
30.0	44.0
31.0	46.0
32.0	57.0
33.0	54.0
34.0	85.0
35.0	73.0
36.0	75.0
37.0	139.0
38.0	96.0
39.0	121.0
40.0	102.0
41.0	103.0
42.0	191.0
43.0	129.0
44.0	112.0
45.0	184.0
46.0	337.0
47.0	150.0
48.0	183.0
49.0	164.0
50.0	270.0
51.0	267.0
52.0	192.0
53.0	200.0
54.0	238.0
55.0	314.0
56.0	382.0
57.0	484.0
58.0	364.0
59.0	713.0
60.0	9554.0
