#Mapping quality	mapping quality
2.0	73.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	28.0
12.0	23.0
13.0	42.0
14.0	29.0
15.0	32.0
16.0	31.0
17.0	29.0
18.0	56.0
19.0	37.0
20.0	36.0
21.0	35.0
22.0	38.0
23.0	37.0
24.0	40.0
25.0	41.0
26.0	41.0
27.0	50.0
28.0	40.0
29.0	50.0
30.0	45.0
31.0	46.0
32.0	54.0
33.0	55.0
34.0	87.0
35.0	73.0
36.0	75.0
37.0	139.0
38.0	97.0
39.0	121.0
40.0	105.0
41.0	105.0
42.0	190.0
43.0	129.0
44.0	111.0
45.0	188.0
46.0	338.0
47.0	150.0
48.0	181.0
49.0	165.0
50.0	267.0
51.0	267.0
52.0	189.0
53.0	201.0
54.0	234.0
55.0	317.0
56.0	385.0
57.0	489.0
58.0	365.0
59.0	713.0
60.0	9524.0
