#Mapping quality	mapping quality
2.0	77.0
3.0	222.0
4.0	17.0
5.0	20.0
6.0	25.0
7.0	21.0
8.0	20.0
9.0	30.0
10.0	22.0
11.0	28.0
12.0	23.0
13.0	43.0
14.0	27.0
15.0	34.0
16.0	29.0
17.0	29.0
18.0	55.0
19.0	37.0
20.0	35.0
21.0	35.0
22.0	37.0
23.0	36.0
24.0	39.0
25.0	42.0
26.0	41.0
27.0	48.0
28.0	40.0
29.0	49.0
30.0	45.0
31.0	45.0
32.0	55.0
33.0	53.0
34.0	84.0
35.0	74.0
36.0	75.0
37.0	140.0
38.0	95.0
39.0	121.0
40.0	104.0
41.0	105.0
42.0	191.0
43.0	128.0
44.0	114.0
45.0	185.0
46.0	337.0
47.0	149.0
48.0	184.0
49.0	163.0
50.0	270.0
51.0	267.0
52.0	193.0
53.0	208.0
54.0	239.0
55.0	323.0
56.0	369.0
57.0	476.0
58.0	353.0
59.0	707.0
60.0	9554.0
