#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0021141649048625794
35.0	0.0069643079219002604
36.0	0.007586121129212784
37.0	0.008207934336525308
38.0	0.01256062678771297
39.0	0.03320482527048874
40.0	0.055590100733739586
41.0	0.07014052978485262
42.0	0.08245243128964061
43.0	0.08730257430667827
44.0	0.0986195746797662
45.0	0.09675413505782864
46.0	0.09215271732371595
47.0	0.1094391244870041
48.0	0.10807113543091657
49.0	0.05285412262156448
50.0	0.029598308668076112
51.0	0.020768561124238277
52.0	0.013555527919413009
53.0	0.008207934336525308
54.0	0.00186543962193757
55.0	0.0012436264146250466
56.0	7.46175848775028E-4
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
