#Mapping quality	mapping quality
2.0	65.0
3.0	230.0
4.0	18.0
5.0	22.0
6.0	24.0
7.0	22.0
8.0	22.0
9.0	31.0
10.0	23.0
11.0	31.0
12.0	24.0
13.0	44.0
14.0	31.0
15.0	34.0
16.0	32.0
17.0	31.0
18.0	59.0
19.0	39.0
20.0	36.0
21.0	39.0
22.0	38.0
23.0	41.0
24.0	40.0
25.0	44.0
26.0	45.0
27.0	51.0
28.0	44.0
29.0	53.0
30.0	46.0
31.0	50.0
32.0	58.0
33.0	57.0
34.0	89.0
35.0	76.0
36.0	79.0
37.0	144.0
38.0	99.0
39.0	125.0
40.0	109.0
41.0	108.0
42.0	184.0
43.0	123.0
44.0	110.0
45.0	177.0
46.0	331.0
47.0	143.0
48.0	173.0
49.0	157.0
50.0	263.0
51.0	259.0
52.0	185.0
53.0	194.0
54.0	226.0
55.0	310.0
56.0	374.0
57.0	482.0
58.0	362.0
59.0	710.0
60.0	9551.0
