#Coverage (X)	Coverage
1.0	99.98792926549581
2.0	99.97585853099162
3.0	99.96378779648741
4.0	99.95171706198322
5.0	99.93964632747902
6.0	99.92757559297483
7.0	99.91550485847064
8.0	99.90343412396645
9.0	99.89136338946224
10.0	99.87929265495805
11.0	99.86722192045386
12.0	99.85515118594967
13.0	99.84308045144547
14.0	99.83100971694128
15.0	99.81893898243707
16.0	99.80686824793288
17.0	99.79479751342869
18.0	99.7827267789245
19.0	99.7706560444203
20.0	99.75858530991611
21.0	99.74651457541191
22.0	99.73444384090772
23.0	99.72237310640352
24.0	99.71030237189933
25.0	99.69823163739514
26.0	99.68616090289095
27.0	99.67409016838674
28.0	99.66201943388255
29.0	99.64994869937836
30.0	99.63787796487416
31.0	99.62580723036997
32.0	99.61373649586578
33.0	99.42664011105076
34.0	99.19126078821897
35.0	99.14901321745428
36.0	99.1188363811938
37.0	99.04641197416863
38.0	98.93173999637878
39.0	98.8713863238578
40.0	98.79896191683264
41.0	98.72653750980747
42.0	98.6601484700344
43.0	98.59375943026133
44.0	98.51529965598407
45.0	98.47305208521938
46.0	98.37648620918583
47.0	98.2316373951355
48.0	98.13507151910194
49.0	98.05057637757258
50.0	97.66431287343835
51.0	97.04870541372442
