#Mapping quality	mapping quality
1.0	29.0
2.0	25.0
3.0	21.0
4.0	67.0
5.0	127.0
6.0	218.0
7.0	211.0
8.0	153.0
9.0	164.0
10.0	117.0
11.0	131.0
12.0	160.0
13.0	232.0
14.0	173.0
15.0	149.0
16.0	194.0
17.0	242.0
18.0	153.0
19.0	253.0
20.0	215.0
21.0	264.0
22.0	158.0
23.0	130.0
24.0	142.0
25.0	181.0
26.0	125.0
27.0	112.0
28.0	179.0
29.0	101.0
30.0	103.0
31.0	99.0
32.0	158.0
33.0	119.0
34.0	131.0
35.0	98.0
36.0	170.0
37.0	205.0
38.0	110.0
39.0	86.0
40.0	87.0
41.0	125.0
42.0	119.0
43.0	167.0
44.0	163.0
45.0	139.0
46.0	174.0
47.0	149.0
48.0	144.0
49.0	190.0
50.0	206.0
51.0	233.0
52.0	258.0
53.0	207.0
54.0	371.0
55.0	413.0
56.0	235.0
57.0	241.0
58.0	583.0
59.0	779.0
60.0	5880.0
