#Coverage (X)	Coverage
1.0	99.97585853099162
2.0	99.94568169473112
3.0	99.89739875671435
4.0	99.86118655320176
5.0	99.81893898243707
6.0	99.7706560444203
7.0	99.72840847365562
8.0	99.69823163739514
9.0	99.65598406663045
10.0	99.61373649586578
11.0	99.57752429235319
12.0	99.54131208884061
13.0	99.49906451807593
14.0	99.46285231456334
15.0	99.43267547830285
16.0	99.39646327479026
17.0	99.37232180578188
18.0	99.3421449695214
19.0	99.3119681332609
20.0	99.28179129700042
21.0	99.25161446073993
22.0	99.21540225722735
23.0	99.19126078821897
24.0	99.16711931921057
25.0	99.14297785020219
26.0	99.1188363811938
27.0	99.0946949121854
28.0	99.07055344317702
29.0	99.04641197416863
30.0	99.02227050516024
31.0	98.99812903615185
32.0	98.97398756714347
33.0	98.94984609813507
34.0	98.92570462912668
35.0	98.90156316011829
36.0	98.8774216911099
37.0	98.85328022210152
38.0	98.82913875309312
39.0	98.80499728408473
40.0	98.78085581507635
41.0	98.75671434606795
42.0	98.73257287705957
43.0	98.70843140805118
44.0	98.68428993904278
45.0	98.6601484700344
46.0	98.63600700102602
47.0	98.61186553201762
48.0	98.58772406300923
49.0	98.56358259400085
50.0	98.53944112499245
51.0	98.51529965598407
