#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	28.0
12.0	22.0
13.0	42.0
14.0	28.0
15.0	42.0
16.0	31.0
17.0	30.0
18.0	58.0
19.0	38.0
20.0	37.0
21.0	37.0
22.0	38.0
23.0	39.0
24.0	40.0
25.0	45.0
26.0	42.0
27.0	52.0
28.0	42.0
29.0	52.0
30.0	47.0
31.0	49.0
32.0	57.0
33.0	57.0
34.0	89.0
35.0	76.0
36.0	78.0
37.0	145.0
38.0	100.0
39.0	127.0
40.0	117.0
41.0	134.0
42.0	154.0
43.0	126.0
44.0	112.0
45.0	185.0
46.0	335.0
47.0	145.0
48.0	178.0
49.0	165.0
50.0	271.0
51.0	266.0
52.0	190.0
53.0	195.0
54.0	233.0
55.0	309.0
56.0	380.0
57.0	483.0
58.0	364.0
59.0	713.0
60.0	9505.0
