#Mapping quality	mapping quality
2.0	65.0
3.0	236.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	30.0
10.0	21.0
11.0	28.0
12.0	23.0
13.0	43.0
14.0	27.0
15.0	33.0
16.0	30.0
17.0	30.0
18.0	56.0
19.0	37.0
20.0	35.0
21.0	36.0
22.0	36.0
23.0	38.0
24.0	37.0
25.0	43.0
26.0	41.0
27.0	49.0
28.0	40.0
29.0	51.0
30.0	43.0
31.0	46.0
32.0	55.0
33.0	56.0
34.0	84.0
35.0	73.0
36.0	73.0
37.0	140.0
38.0	97.0
39.0	121.0
40.0	104.0
41.0	104.0
42.0	191.0
43.0	128.0
44.0	113.0
45.0	184.0
46.0	340.0
47.0	149.0
48.0	183.0
49.0	167.0
50.0	268.0
51.0	268.0
52.0	196.0
53.0	195.0
54.0	238.0
55.0	315.0
56.0	383.0
57.0	486.0
58.0	366.0
59.0	713.0
60.0	9526.0
