#Coverage (X)	Coverage
1.0	99.98792926549581
2.0	99.97585853099162
3.0	99.96378779648741
4.0	99.95171706198322
5.0	99.93964632747902
6.0	99.92757559297483
7.0	99.91550485847064
8.0	99.90343412396645
9.0	99.89136338946224
10.0	99.87929265495805
11.0	99.86722192045386
12.0	99.85515118594967
13.0	99.84308045144547
14.0	99.83100971694128
15.0	99.81893898243707
16.0	99.80686824793288
17.0	99.79479751342869
18.0	99.7827267789245
19.0	99.7706560444203
20.0	99.75858530991611
21.0	99.74047920815981
22.0	99.71633773915143
23.0	99.68616090289095
24.0	99.65598406663045
25.0	99.63184259762207
26.0	99.60770112861367
27.0	99.5714889251011
28.0	99.54734745609271
29.0	99.52320598708431
30.0	99.49302915082383
31.0	99.46888768181545
32.0	99.44474621280705
33.0	99.41456937654657
34.0	99.38439254028607
35.0	99.36025107127769
36.0	99.3361096022693
37.0	99.26368519524414
38.0	99.15504858470638
39.0	99.1007302794375
40.0	99.03434123966443
41.0	98.95588146538717
42.0	98.89552779286619
43.0	98.83517412034523
44.0	98.75067897881586
45.0	98.70843140805118
46.0	98.61186553201762
47.0	98.4730520852194
48.0	98.38252157643792
49.0	98.30406180216066
50.0	97.91176293077434
51.0	97.27804936930413
