#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	28.0
12.0	22.0
13.0	42.0
14.0	28.0
15.0	51.0
16.0	32.0
17.0	33.0
18.0	59.0
19.0	40.0
20.0	37.0
21.0	40.0
22.0	40.0
23.0	41.0
24.0	42.0
25.0	47.0
26.0	45.0
27.0	55.0
28.0	45.0
29.0	54.0
30.0	49.0
31.0	53.0
32.0	59.0
33.0	61.0
34.0	91.0
35.0	79.0
36.0	81.0
37.0	147.0
38.0	103.0
39.0	129.0
40.0	112.0
41.0	112.0
42.0	190.0
43.0	125.0
44.0	109.0
45.0	182.0
46.0	357.0
47.0	137.0
48.0	170.0
49.0	153.0
50.0	244.0
51.0	255.0
52.0	181.0
53.0	187.0
54.0	223.0
55.0	302.0
56.0	369.0
57.0	477.0
58.0	354.0
59.0	703.0
60.0	9553.0
