#Mapping quality	mapping quality
1.0	29.0
2.0	25.0
3.0	21.0
4.0	67.0
5.0	127.0
6.0	218.0
7.0	211.0
8.0	153.0
9.0	164.0
10.0	117.0
11.0	131.0
12.0	160.0
13.0	232.0
14.0	173.0
15.0	149.0
16.0	194.0
17.0	242.0
18.0	153.0
19.0	253.0
20.0	182.0
21.0	192.0
22.0	109.0
23.0	133.0
24.0	147.0
25.0	184.0
26.0	132.0
27.0	144.0
28.0	232.0
29.0	115.0
30.0	122.0
31.0	114.0
32.0	170.0
33.0	129.0
34.0	138.0
35.0	103.0
36.0	154.0
37.0	122.0
38.0	103.0
39.0	85.0
40.0	85.0
41.0	134.0
42.0	121.0
43.0	167.0
44.0	129.0
45.0	125.0
46.0	179.0
47.0	175.0
48.0	151.0
49.0	206.0
50.0	226.0
51.0	250.0
52.0	282.0
53.0	207.0
54.0	371.0
55.0	413.0
56.0	235.0
57.0	241.0
58.0	583.0
59.0	779.0
60.0	5880.0
