#Mapping quality	mapping quality
1.0	69.0
3.0	223.0
4.0	16.0
5.0	18.0
6.0	21.0
7.0	19.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	27.0
12.0	23.0
13.0	42.0
14.0	27.0
15.0	31.0
16.0	29.0
17.0	28.0
18.0	55.0
19.0	36.0
20.0	35.0
21.0	35.0
22.0	37.0
23.0	37.0
24.0	37.0
25.0	39.0
26.0	41.0
27.0	50.0
28.0	40.0
29.0	50.0
30.0	44.0
31.0	46.0
32.0	54.0
33.0	55.0
34.0	87.0
35.0	73.0
36.0	73.0
37.0	139.0
38.0	97.0
39.0	121.0
40.0	104.0
41.0	105.0
42.0	189.0
43.0	128.0
44.0	115.0
45.0	184.0
46.0	338.0
47.0	152.0
48.0	183.0
49.0	166.0
50.0	268.0
51.0	269.0
52.0	196.0
53.0	199.0
54.0	238.0
55.0	313.0
56.0	381.0
57.0	484.0
58.0	364.0
59.0	713.0
60.0	9554.0
