#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	28.0
12.0	22.0
13.0	42.0
14.0	34.0
15.0	47.0
16.0	46.0
17.0	30.0
18.0	56.0
19.0	38.0
20.0	36.0
21.0	38.0
22.0	38.0
23.0	37.0
24.0	39.0
25.0	45.0
26.0	42.0
27.0	50.0
28.0	41.0
29.0	49.0
30.0	45.0
31.0	46.0
32.0	58.0
33.0	67.0
34.0	91.0
35.0	74.0
36.0	76.0
37.0	140.0
38.0	97.0
39.0	122.0
40.0	103.0
41.0	104.0
42.0	191.0
43.0	128.0
44.0	112.0
45.0	184.0
46.0	337.0
47.0	148.0
48.0	183.0
49.0	168.0
50.0	272.0
51.0	271.0
52.0	195.0
53.0	204.0
54.0	246.0
55.0	318.0
56.0	300.0
57.0	476.0
58.0	353.0
59.0	707.0
60.0	9554.0
