#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	28.0
12.0	22.0
13.0	42.0
14.0	28.0
15.0	32.0
16.0	30.0
17.0	29.0
18.0	55.0
19.0	37.0
20.0	34.0
21.0	36.0
22.0	49.0
23.0	37.0
24.0	40.0
25.0	44.0
26.0	43.0
27.0	51.0
28.0	42.0
29.0	52.0
30.0	46.0
31.0	48.0
32.0	56.0
33.0	59.0
34.0	87.0
35.0	75.0
36.0	79.0
37.0	142.0
38.0	101.0
39.0	125.0
40.0	110.0
41.0	124.0
42.0	173.0
43.0	123.0
44.0	110.0
45.0	182.0
46.0	335.0
47.0	150.0
48.0	186.0
49.0	170.0
50.0	268.0
51.0	265.0
52.0	189.0
53.0	199.0
54.0	231.0
55.0	312.0
56.0	378.0
57.0	491.0
58.0	352.0
59.0	701.0
60.0	9530.0
