#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	28.0
12.0	37.0
13.0	44.0
14.0	32.0
15.0	36.0
16.0	32.0
17.0	33.0
18.0	59.0
19.0	41.0
20.0	38.0
21.0	41.0
22.0	40.0
23.0	41.0
24.0	42.0
25.0	47.0
26.0	45.0
27.0	54.0
28.0	46.0
29.0	55.0
30.0	49.0
31.0	52.0
32.0	60.0
33.0	61.0
34.0	92.0
35.0	79.0
36.0	80.0
37.0	84.0
38.0	95.0
39.0	120.0
40.0	106.0
41.0	105.0
42.0	230.0
43.0	127.0
44.0	105.0
45.0	176.0
46.0	329.0
47.0	141.0
48.0	173.0
49.0	159.0
50.0	265.0
51.0	210.0
52.0	193.0
53.0	199.0
54.0	236.0
55.0	314.0
56.0	382.0
57.0	484.0
58.0	364.0
59.0	713.0
60.0	9554.0
