#Mapping quality	mapping quality
2.0	65.0
3.0	410.0
4.0	16.0
5.0	18.0
6.0	23.0
7.0	19.0
8.0	21.0
9.0	28.0
10.0	21.0
11.0	28.0
12.0	22.0
13.0	25.0
14.0	25.0
15.0	28.0
16.0	26.0
17.0	25.0
18.0	52.0
19.0	32.0
20.0	30.0
21.0	32.0
22.0	32.0
23.0	33.0
24.0	34.0
25.0	38.0
26.0	36.0
27.0	43.0
28.0	36.0
29.0	44.0
30.0	40.0
31.0	40.0
32.0	47.0
33.0	49.0
34.0	77.0
35.0	67.0
36.0	68.0
37.0	135.0
38.0	89.0
39.0	112.0
40.0	97.0
41.0	96.0
42.0	181.0
43.0	121.0
44.0	111.0
45.0	185.0
46.0	338.0
47.0	149.0
48.0	182.0
49.0	166.0
50.0	269.0
51.0	267.0
52.0	193.0
53.0	199.0
54.0	236.0
55.0	314.0
56.0	382.0
57.0	484.0
58.0	364.0
59.0	713.0
60.0	9554.0
