#Mapping quality	mapping quality
2.0	65.0
3.0	311.0
4.0	18.0
5.0	22.0
6.0	24.0
7.0	23.0
8.0	23.0
9.0	32.0
10.0	24.0
11.0	30.0
12.0	26.0
13.0	46.0
14.0	31.0
15.0	35.0
16.0	34.0
17.0	32.0
18.0	32.0
19.0	37.0
20.0	34.0
21.0	36.0
22.0	35.0
23.0	37.0
24.0	38.0
25.0	42.0
26.0	41.0
27.0	49.0
28.0	42.0
29.0	48.0
30.0	45.0
31.0	45.0
32.0	53.0
33.0	52.0
34.0	84.0
35.0	71.0
36.0	73.0
37.0	138.0
38.0	96.0
39.0	120.0
40.0	101.0
41.0	102.0
42.0	132.0
43.0	119.0
44.0	108.0
45.0	181.0
46.0	335.0
47.0	146.0
48.0	178.0
49.0	166.0
50.0	269.0
51.0	267.0
52.0	193.0
53.0	199.0
54.0	236.0
55.0	314.0
56.0	382.0
57.0	484.0
58.0	364.0
59.0	713.0
60.0	9554.0
