#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	28.0
12.0	22.0
13.0	42.0
14.0	28.0
15.0	48.0
16.0	33.0
17.0	32.0
18.0	58.0
19.0	40.0
20.0	36.0
21.0	40.0
22.0	38.0
23.0	40.0
24.0	40.0
25.0	46.0
26.0	43.0
27.0	52.0
28.0	44.0
29.0	52.0
30.0	47.0
31.0	52.0
32.0	62.0
33.0	63.0
34.0	66.0
35.0	68.0
36.0	72.0
37.0	137.0
38.0	94.0
39.0	117.0
40.0	102.0
41.0	102.0
42.0	187.0
43.0	130.0
44.0	113.0
45.0	188.0
46.0	342.0
47.0	149.0
48.0	183.0
49.0	166.0
50.0	271.0
51.0	264.0
52.0	194.0
53.0	196.0
54.0	236.0
55.0	313.0
56.0	398.0
57.0	472.0
58.0	352.0
59.0	701.0
60.0	9529.0
