#Mapping quality	mapping quality
0.0	7.0
1.0	40.0
2.0	38.0
3.0	36.0
4.0	90.0
5.0	135.0
6.0	226.0
7.0	220.0
8.0	160.0
9.0	171.0
10.0	128.0
11.0	141.0
12.0	170.0
13.0	154.0
14.0	150.0
15.0	147.0
16.0	197.0
17.0	179.0
18.0	152.0
19.0	253.0
20.0	178.0
21.0	190.0
22.0	107.0
23.0	132.0
24.0	145.0
25.0	185.0
26.0	128.0
27.0	115.0
28.0	183.0
29.0	105.0
30.0	114.0
31.0	108.0
32.0	169.0
33.0	129.0
34.0	136.0
35.0	99.0
36.0	171.0
37.0	202.0
38.0	109.0
39.0	83.0
40.0	85.0
41.0	114.0
42.0	114.0
43.0	172.0
44.0	164.0
45.0	137.0
46.0	184.0
47.0	183.0
48.0	160.0
49.0	206.0
50.0	226.0
51.0	250.0
52.0	282.0
53.0	207.0
54.0	371.0
55.0	413.0
56.0	235.0
57.0	241.0
58.0	583.0
59.0	779.0
60.0	5880.0
