#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0026276276276276274
30.0	0.0022522522522522522
31.0	0.003003003003003003
32.0	0.0026276276276276274
33.0	0.004129129129129129
34.0	0.005255255255255255
35.0	0.00825825825825826
36.0	0.01651651651651652
37.0	0.03153153153153153
38.0	0.032657657657657664
39.0	0.038288288288288286
40.0	0.04692192192192192
41.0	0.052177177177177174
42.0	0.05818318318318318
43.0	0.07357357357357357
44.0	0.0762012012012012
45.0	0.07432432432432431
46.0	0.08821321321321321
47.0	0.0915915915915916
48.0	0.07469969969969971
49.0	0.06606606606606608
50.0	0.0518018018018018
51.0	0.03190690690690691
52.0	0.01951951951951952
53.0	0.014264264264264262
54.0	0.012012012012012014
55.0	0.010885885885885887
56.0	0.007132132132132132
57.0	0.0026276276276276274
58.0	7.507507507507507E-4
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
