#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0010735373054213634
26.0	0.0010735373054213634
27.0	0.0
28.0	0.0026838432635534083
29.0	0.003757380568974771
30.0	0.003757380568974771
31.0	0.004830917874396136
32.0	0.009661835748792272
33.0	0.00966183574879227
34.0	0.011272141706924315
35.0	0.017176596886741814
36.0	0.023617820719269995
37.0	0.026838432635534083
38.0	0.03435319377348363
39.0	0.035963499731615674
40.0	0.04562533548040795
41.0	0.04025764895330112
42.0	0.06011808910359635
43.0	0.07139023081052068
44.0	0.06816961889425657
45.0	0.06924315619967794
46.0	0.06441223832528181
47.0	0.0644122383252818
48.0	0.0617283950617284
49.0	0.05421363392377885
50.0	0.04777241009125067
51.0	0.04347826086956522
52.0	0.02952227589908749
53.0	0.023617820719269995
54.0	0.024154589371980673
55.0	0.01663982823403113
56.0	0.008051529790660225
57.0	0.009125067096081588
58.0	0.004830917874396135
59.0	0.0042941492216854536
60.0	0.0010735373054213634
61.0	0.001610305958132045
62.0	5.367686527106817E-4
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
