#Mapping quality	mapping quality
1.0	11.0
2.0	111.0
3.0	257.0
4.0	18.0
5.0	21.0
6.0	23.0
7.0	23.0
8.0	22.0
9.0	32.0
10.0	23.0
11.0	31.0
12.0	25.0
13.0	29.0
14.0	27.0
15.0	35.0
16.0	53.0
17.0	48.0
18.0	76.0
19.0	45.0
20.0	32.0
21.0	34.0
22.0	32.0
23.0	35.0
24.0	35.0
25.0	40.0
26.0	37.0
27.0	45.0
28.0	37.0
29.0	48.0
30.0	41.0
31.0	42.0
32.0	50.0
33.0	52.0
34.0	82.0
35.0	69.0
36.0	71.0
37.0	136.0
38.0	92.0
39.0	118.0
40.0	101.0
41.0	98.0
42.0	186.0
43.0	122.0
44.0	109.0
45.0	182.0
46.0	333.0
47.0	142.0
48.0	178.0
49.0	163.0
50.0	261.0
51.0	263.0
52.0	188.0
53.0	194.0
54.0	230.0
55.0	308.0
56.0	356.0
57.0	484.0
58.0	364.0
59.0	713.0
60.0	9554.0
