#Mapping quality	mapping quality
2.0	65.0
3.0	263.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	18.0
8.0	20.0
9.0	29.0
10.0	21.0
11.0	26.0
12.0	23.0
13.0	42.0
14.0	27.0
15.0	32.0
16.0	30.0
17.0	28.0
18.0	55.0
19.0	36.0
20.0	34.0
21.0	36.0
22.0	36.0
23.0	37.0
24.0	37.0
25.0	42.0
26.0	41.0
27.0	48.0
28.0	41.0
29.0	49.0
30.0	43.0
31.0	46.0
32.0	54.0
33.0	56.0
34.0	84.0
35.0	71.0
36.0	74.0
37.0	140.0
38.0	97.0
39.0	120.0
40.0	103.0
41.0	103.0
42.0	189.0
43.0	127.0
44.0	115.0
45.0	185.0
46.0	336.0
47.0	149.0
48.0	185.0
49.0	165.0
50.0	266.0
51.0	268.0
52.0	198.0
53.0	199.0
54.0	237.0
55.0	316.0
56.0	383.0
57.0	487.0
58.0	362.0
59.0	711.0
60.0	9525.0
