#Mapping quality	mapping quality
2.0	65.0
3.0	310.0
4.0	15.0
5.0	19.0
6.0	21.0
7.0	20.0
8.0	18.0
9.0	28.0
10.0	21.0
11.0	26.0
12.0	22.0
13.0	40.0
14.0	27.0
15.0	31.0
16.0	29.0
17.0	28.0
18.0	54.0
19.0	36.0
20.0	33.0
21.0	35.0
22.0	34.0
23.0	37.0
24.0	36.0
25.0	41.0
26.0	40.0
27.0	47.0
28.0	38.0
29.0	48.0
30.0	42.0
31.0	44.0
32.0	51.0
33.0	52.0
34.0	84.0
35.0	72.0
36.0	74.0
37.0	140.0
38.0	96.0
39.0	121.0
40.0	104.0
41.0	104.0
42.0	190.0
43.0	128.0
44.0	113.0
45.0	187.0
46.0	340.0
47.0	151.0
48.0	185.0
49.0	170.0
50.0	272.0
51.0	265.0
52.0	192.0
53.0	198.0
54.0	230.0
55.0	311.0
56.0	383.0
57.0	476.0
58.0	339.0
59.0	701.0
60.0	9553.0
