#Coverage (X)	Coverage
1.0	99.98792926549581
2.0	99.97585853099162
3.0	99.96378779648741
4.0	99.95171706198322
5.0	99.93964632747902
6.0	99.92757559297483
7.0	99.91550485847064
8.0	99.90343412396645
9.0	99.89136338946224
10.0	99.87929265495805
11.0	99.86722192045386
12.0	99.85515118594967
13.0	99.84308045144547
14.0	99.83100971694128
15.0	99.81893898243707
16.0	99.80686824793288
17.0	99.79479751342869
18.0	99.7827267789245
19.0	99.75858530991611
20.0	99.63184259762207
21.0	99.5533828233448
22.0	99.52320598708431
23.0	99.49906451807593
24.0	99.46888768181545
25.0	99.43871084555495
26.0	99.40853400929447
27.0	99.38439254028607
28.0	99.35421570402559
29.0	99.33007423501721
30.0	99.30593276600881
31.0	99.28179129700042
32.0	99.25764982799204
33.0	99.23350835898364
34.0	99.20936688997526
35.0	99.18522542096687
36.0	99.16108395195847
37.0	99.0946949121854
38.0	98.98605830164766
39.0	98.93173999637878
40.0	98.86535095660571
41.0	98.79896191683264
42.0	98.73860824431166
43.0	98.67825457179069
44.0	98.60583016476552
45.0	98.56961796125294
46.0	98.47908745247149
47.0	98.34027400567325
48.0	98.24974349689178
49.0	98.17128372261452
50.0	97.7850202184803
51.0	97.15130665701008
