#Mapping quality	mapping quality
2.0	65.0
3.0	227.0
4.0	16.0
5.0	19.0
6.0	22.0
7.0	20.0
8.0	20.0
9.0	30.0
10.0	21.0
11.0	27.0
12.0	23.0
13.0	42.0
14.0	27.0
15.0	32.0
16.0	30.0
17.0	30.0
18.0	55.0
19.0	36.0
20.0	34.0
21.0	36.0
22.0	37.0
23.0	37.0
24.0	37.0
25.0	42.0
26.0	42.0
27.0	48.0
28.0	41.0
29.0	50.0
30.0	43.0
31.0	46.0
32.0	55.0
33.0	56.0
34.0	84.0
35.0	73.0
36.0	73.0
37.0	140.0
38.0	97.0
39.0	121.0
40.0	104.0
41.0	104.0
42.0	190.0
43.0	127.0
44.0	114.0
45.0	185.0
46.0	338.0
47.0	149.0
48.0	183.0
49.0	167.0
50.0	267.0
51.0	267.0
52.0	193.0
53.0	198.0
54.0	237.0
55.0	316.0
56.0	380.0
57.0	484.0
58.0	363.0
59.0	713.0
60.0	9554.0
