#Mapping quality	mapping quality
1.0	29.0
2.0	25.0
3.0	21.0
4.0	67.0
5.0	127.0
6.0	218.0
7.0	211.0
8.0	153.0
9.0	164.0
10.0	117.0
11.0	131.0
12.0	186.0
13.0	242.0
14.0	182.0
15.0	157.0
16.0	203.0
17.0	248.0
18.0	159.0
19.0	259.0
20.0	189.0
21.0	198.0
22.0	115.0
23.0	117.0
24.0	140.0
25.0	176.0
26.0	122.0
27.0	111.0
28.0	179.0
29.0	100.0
30.0	107.0
31.0	101.0
32.0	160.0
33.0	117.0
34.0	128.0
35.0	96.0
36.0	168.0
37.0	199.0
38.0	108.0
39.0	80.0
40.0	82.0
41.0	112.0
42.0	113.0
43.0	170.0
44.0	160.0
45.0	135.0
46.0	182.0
47.0	181.0
48.0	157.0
49.0	205.0
50.0	225.0
51.0	248.0
52.0	281.0
53.0	205.0
54.0	371.0
55.0	413.0
56.0	235.0
57.0	241.0
58.0	583.0
59.0	779.0
60.0	5880.0
